major_id,name,category,degrees_per_year,note
urban-and-regional-planning,Urban & Regional Planning,public,3000,Data modeling paired with public-facing process work.
fire-science,Fire Science,public,6000,"Emergency response is physical, high-stakes, and in-person."
homeland-security,Homeland Security,public,7000,"Analysis-heavy coursework, but operationally grounded work."
agricultural-science,Agricultural Science,ag,15000,Applied field and production work dominates.
animal-science,Animal Science,ag,12000,Hands-on animal care and production work.
environmental-science,Environmental Science,ag,15000,Fieldwork paired with heavily quantitative modeling.
sport-management,Sport Management,ag,25000,Operations and event work are people- and place-based.
recreation-and-leisure-studies,Recreation & Leisure Studies,ag,15000,Program delivery is in-person by design.
fitness-and-wellness,Fitness & Wellness,ag,14000,Coaching and instruction require physical presence.
interdisciplinary-and-general-studies,Interdisciplinary & General Studies,interdisc,54600,Spans everything from data-heavy to hands-on coursework.
family-and-consumer-sciences,Family & Consumer Sciences,interdisc,12000,"Applied, service-oriented coursework and careers."
theology-and-divinity,Theology & Divinity,interdisc,8000,Pastoral care and community leadership are relationship-based.
